"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Spermatid Development (GO:0007286)","2/53",0.000707656033833847,0.022846468351583,0,0,60.132730015083,436.175908735305,"CDYL;SYCP3"
"Regulation Of Translational Initiation (GO:0006446)","2/65",0.00106262643495735,0.022846468351583,0,0,48.6495726495726,333.104191508598,"BOLL;EIF1B"
"Glutamate Catabolic Process (GO:0006538)","1/5",0.00374469708393798,0.0466631055248602,0,0,356.803571428571,1993.60946675892,"GLUD2"
"Dicarboxylic Acid Biosynthetic Process (GO:0043650)","1/9",0.00673104649386944,0.0466631055248602,0,0,178.366071428571,892.013120036697,"GLUD2"
"Dosage Compensation By Inactivation Of X Chromosome (GO:0009048)","1/11",0.00822108812367145,0.0466631055248602,0,0,142.678571428571,685.007341093277,"CDYL"
"Glutamine Family Amino Acid Biosynthetic Process (GO:0009084)","1/11",0.00822108812367145,0.0466631055248602,0,0,142.678571428571,685.007341093277,"GLUD2"
"Signal Peptide Processing (GO:0006465)","1/13",0.00970904421567263,0.0466631055248602,0,0,118.886904761905,551.004832497213,"SPCS3"
"Glutamine Family Amino Acid Catabolic Process (GO:0009065)","1/15",0.0111949172924613,0.0466631055248602,0,0,101.892857142857,457.73281515348,"GLUD2"
"Dicarboxylic Acid Catabolic Process (GO:0043649)","1/16",0.0119370735063596,0.0466631055248602,0,0,95.0952380952381,421.091823007422,"GLUD2"
"Establishment Of Protein Localization To Endoplasmic Reticulum (GO:0072599)","1/16",0.0119370735063596,0.0466631055248602,0,0,95.0952380952381,421.091823007422,"SPCS3"
"Male Meiosis I (GO:0007141)","1/16",0.0119370735063596,0.0466631055248602,0,0,95.0952380952381,421.091823007422,"SYCP3"
"3'-UTR-mediated mRNA Stabilization (GO:0070935)","1/18",0.0134198269051201,0.0480877130766803,0,0,83.8991596638655,361.691126934933,"BOLL"
"Glutamate Metabolic Process (GO:0006536)","1/20",0.0149005037888986,0.0492862817632799,0,0,75.0601503759399,315.730033295706,"GLUD2"
"Protein Targeting To ER (GO:0045047)","1/23",0.01711763141868,0.0525755822145171,0,0,64.8149350649351,263.64422882818,"SPCS3"
"Meiosis I (GO:0007127)","1/26",0.0193301017548388,0.0554129583638712,0,0,57.0285714285714,225.039973613912,"SYCP3"
"Golgi To Plasma Membrane Protein Transport (GO:0043001)","1/28",0.0208024990214189,0.0559067161200632,0,0,52.7989417989418,204.473519667054,"KRT18"
"Glutamine Family Amino Acid Metabolic Process (GO:0009064)","1/31",0.0230072271319288,0.058194750980761,0,0,47.5119047619048,179.212381370596,"GLUD2"
"Establishment Of Protein Localization To Plasma Membrane (GO:0061951)","1/38",0.0281335896005231,0.0672080196012496,0,0,38.5096525096525,137.509922792205,"KRT18"
"Regulation Of DNA-templated Transcription Elongation (GO:0032784)","1/44",0.0325076230964538,0.072977051681352,0,0,33.1262458471761,113.499815495736,"ELOA2"
"Golgi To Plasma Membrane Transport (GO:0006893)","1/47",0.0346877436193287,0.072977051681352,0,0,30.9611801242236,104.071946869698,"KRT18"
"Dicarboxylic Acid Metabolic Process (GO:0043648)","1/50",0.0368632785936063,0.072977051681352,0,0,29.0612244897959,95.9177159613371,"GLUD2"
"Amide Biosynthetic Process (GO:0043604)","1/51",0.0375874394476065,0.072977051681352,0,0,28.4785714285714,93.4406232651433,"GLUD2"
"mRNA Stabilization (GO:0048255)","1/53",0.0390342369458394,0.072977051681352,0,0,27.3804945054945,88.8035999575528,"BOLL"
